,Sentence,Emotion
801,"My father died after two very painful weeks in bed. I felt á relieved, and was ashamed of that.",shame
802,"We had a day off from school. Instead of helping my mother with á her job, I stayed in bed all day.",guilty
803,Renewed contact with an earlier friend.,joy
804,Fearing the use of power or reprimands when I belong to the á minority.,fear
805,"A close friend first said he accepted an agreement, but later á used that agreement as a reason for attacking me.",anger
806,When realizing that my girlfriend and myself in fact had started á the process of breaking up.,sadness
807,"Political and military trnsgressions around the world, generally á speaking. This cannot be described through this questionaire.",digust
808,Was accused of having hidden intentions in a situation when I á believed I was acting honestly and fairly.,shame
809,"When my aunt took her own life, I felt guity for not á understanding that she needed support.",guilty
810,"Receiving a postcard form my sweetheart who was abroad on á vacation, not being at all sure if he would write me or not.",joy
811,Doesn't apply.,fear
812,"When I tried to breake it up with my boyfriend, and he refused to á let me go.",anger
813,Having to go back home form the U.S. after having been there for á ten weeks to visit my brother and his family.,sadness
814,Doesn't apply.,digust
815,Doesn't apply.,shame
816,"I dated another boy several times, when I was still \going with\"" á",guilty
817,Finding my glasses again after having lost them in town.,joy
818,Falling off a cliff in the mountains.,fear
819,Having a fight with a class mate.,anger
820,When the gear broke on my car.,sadness
821,Can't remember having had this feeling.,digust
822,Can't remember that feeling.,shame
823,I forgot to lock the outside door at my Land Lady's place.,guilty
824,I got a job right after school was over.,joy
825,Going home alone through the forest after a girl guide (scout ?) á meeting.,fear
826,I get angry when people disbelieve me or misunderstand me.,anger
827,At the death of a close relative.,sadness
828,"Having been unjustly punished, I feel disgust towards the person á responsible.",digust
829,Being caught in changing the truth (lying).,shame
830,"Doing something wrong at home, and then letting my (normally) á more rampant brother take the blame.",guilty
831,Having passed the exam required to be an authorized Radio/TV á dealer.,joy
832,"Climbing a mountain where the rocks were very loose. When we á realized the danger, we were very high up, but still had a long á climb ahead.",fear
833,"Being a spokesman for the union, I got into a quarrel with a á colleague who had been acting disloyally over a sustained period á of time.",anger
834,"When my grandfather died, with whom I had a very close á relationship.",sadness
835,"Reading about executions and massacres which happened during á World War II, I felt disgust towards those who did it.",digust
836,"I woke up at the house of someone I knew, not remembering very á much about what had been said or done during the party on the á previous night.",shame
837,"Borrowing a car, and then having a minor accident (breaking a á headlight).",guilty
838,Succeeding in helping others.,joy
839,"When I realized that we are living on borrowed time, and that the á nuclear holocaust appears to come closer every day.",fear
840,"When others let me down, fail to keep agreements.",anger
841,Death in the close family.,sadness
842,When people manipulate others through appearing better than what á they really are.,digust
843,Participating in a theft several years ago.,shame
844,"Feeling helpless, not being able to accomplish what I really á wanted to do.",guilty
845,I received the message that I'd been accepted at the school where I á really wanted to go.,joy
846,I came home and discovered that someone had broken in. Then I á realized that they probably were still there.,fear
847,I was accused of having drunk a bottle of liquor and then á refilling with water.,anger
848,"Got a package from my parents, without even a small note á enclosed.",sadness
849,"Quarreling with my father, when he made false assertions.",digust
850,Telling friends about how my parents had been treating my á brothers and sisters unfairly.,shame
851,"I've always defended my sister when needed, at the expense of my á brother. This has led to feelings of guilt towards him.",guilty
852,Winning the local soccer championships this year was a great joy.,joy
853,Before important sports events.,fear
854,When colliding with my car. I myself was to blame.,anger
855,"Not succeeding in a cross-country skiing competition, which I á intended to win.",sadness
856,Can't remember any episode of disgust.,digust
857,"When I got really drunk on Norvegian Indipendence Day, and was á not allowed to participate in football (soccer) games for two á weeks. That was very unpleasant.",shame
858,When I and the boy next door set fire to a house by accident.,guilty
859,Getting the top price in the football pools.,joy
860,Was threatened with a knife ... in the military by soldiers form á another unit. The reason was girls.,fear
861,When my mother treats me as a 10-year old boy.,anger
862,Getting to know that my uncle in America had a brain tumor.,sadness
863,"Outside a night club, a grown man was sitting on top of a younger á woman, beating her up.",digust
864,"My father was a member of the public Alcohol and Drugs Board, á when I was picked up by the police for being drunk in a public á place.",shame
865,"When being illoyal (disloyal) to people close to me. Had such an á episode with my sister, who should have received my support and á attention.",guilty
866,"Receiving close friends form abroad, whom I hadn't seen for á years.",joy
867,"Motorcycle accident with two people involved, running off the á road. Broke an arm, only.",fear
868,"Having agreed to share the taxi expenses, three people in the á back of the car just ran off, leaving the person up front with á the entire bill.",anger
869,Death of a close friend.,sadness
870,Can't remember any such feelings now.,digust
871,"At a private party I literally fell into the food. The party was á completely ruined for the host, carpets had to be cleaned, etc.",shame
872,"Accidentally dropped a friends camera flash, so that it was á broken.",guilty
873,Selling my used car.,joy
874,"Almost crashing my car, something which could have led to great á problems.",fear
875,Realizing that a friend had been talked into signing a certain á contract.,anger
876,"Talking to a pensioned and bitter \street order\"" policeman.""",sadness
877,The sadistinc exacution of a student in the USA.,digust
878,Forgetting an important appointment.,shame
879,Not keeping a promise of delivering materials of great importance á to the receiver.,guilty
880,Managed to run 30 Km on skis fairly simply.,joy
881,Afraid I wouldn't catch the train when I was going to see my á sweetheart.,fear
882,Receiving personal criticisms early in the morning.,anger
883,Not getting a job.,sadness
884,Seeing a pornographic film when looking for a place to live.,digust
885,When unjustified hurting other people.,shame
886,"The negative feelings towards me displayed by my á \parents-in-law\"".""",guilty
887,Reunion with my wife after a legal separation.,joy
888,"The house was on fire, and I was saved by the dog. I am afraid of á the fire, verging on panic.",fear
889,"Physical violence. A friend wouldn't listen to me I repeatedly á tried to warn him, to no avail. Result: eight people were \pissed á",anger
890,My father dying.,sadness
891,Maltreatment of children.,digust
892,I lost my driver's licence because of speeding.,shame
893,"Car accident, hurt three of my closest family.",guilty
894,Relating to my closest family.,joy
895,"Thinking of the unknown, what happens at the moment of death, á etc.",fear
896,"In traffic I often get relatively angry with other drivers. á Several transgressions make me mad, especially not yielding to á priority traffic (e.g. coming from the right).",anger
897,"Losing close people and animals. So far, I've felt most when á losing our dog in a traffic accident.",sadness
898,I feel disgust towards those who are responsible for the death of á others.,digust
899,"Talking about a person's unattractiveness, not realizing that the á person was listening.",shame
900,"I often feel guilty, and it has to do with other people, e.g. if á I haven't visited my older relatives for a while.",guilty
901,When the contract about my shop was signed.,joy
902,"Being very close to having an auto accident, almost driving off á the road.",fear
903,"Having gone to school without learning anything, as usual.",anger
904,"My sweatheart were away on a trip, and then she got problems.",sadness
905,Overeating a traditional type of food - blood pudding.,digust
906,Forgot to do some shopping that I had promised to do.,shame
907,I crashed my father's car.,guilty
908,Receiving a letter form a girl that means a lot to me á emotionally.,joy
909,Being close to drowning.,fear
910,Being slandered by friends.,anger
911,Love problems.,sadness
912,Does not apply.,digust
913,"Having finally to admit I was wrong, after having denied it for a á long time.",shame
914,Being aggressive against members of my family.,guilty
915,I won the country ski championship.,joy
916,I was scared in the dark when I was a little boy.,fear
917,Angry when our team (small boys) lost the county championship á football final.,anger
918,My grandfather's death.,sadness
919,"A teacher gave me lower grades than I was entitled to, and was á hoping for.",digust
920,Was caught stealing apples in a neighbor's garden.,shame
921,Not helping parents enough at home and at the farm - this has á happened many times.,guilty
922,"When the bank let me borrow some money this winter, after my á grant was spent.",joy
923,"Once I was stopped by the police in Spain, when I had some á \grass\"" in my tobacco.""",fear
924,"My father accused my brother of having bumped his car, and it was á wrong.",anger
925,When a girlfriend left me.,sadness
926,"When a \friend\"" dropped a frog down my neck, and I didn't know á",digust
927,Fighting with my father while drunk.,shame
928,During 7th grade our class mobbed a famale teacher so badly that á she had a breackdown and was hospitalized.,guilty
929,I am a school teacher. At a teacher-parent meeting I received a á good deal of positive feed-back on my work both from the parents á and through them from the pupils.,joy
930,"As a child, when I was at home alone, I felt in an indefinate á manner afraid of the death of my father and mother.",fear
931,"I had a discussion with my mother concerning my sister's divorce, á we disagreed strongly.",anger
932,As a ten-year-old I was at the funeral of my grand-father.  It was more á the ceremonies held in the church and not really the death of my á grand-father which made me sad.,sadness
933,"I had a discussion with my wife about an over-weight acquaintance of á our's, about her eating habits and the scars caused by her á pregnancy.",digust
934,When I confessed to my girl-friend (now my wife) that I had á betrayed her with another woman.,shame
935,"The same as in \shame\"".""",guilty
936,[ A successful lesson.],joy
937,[ I was thinking about death.],fear
938,A conflict with a pupil.,anger
939,When I am at home alone.,sadness
940,A saturday night a bus full of drunken people.,digust
941,A conflict with a pupil and there were probatory teachers á present.,shame
942,Selling the appartment after my divorce.,guilty
943,When in an economic crisis I got an unexpected sum of money.,joy
944,In the dark an unreal figure formed by a shadow.,fear
945,"[ When I was treated unfairly, regardless of my motives or deeds.]",anger
946,When I noticed obvious marks of old age (in a negative sense) on á a close relative of mine.,sadness
947,"As a child, when I saw an \unesthetic\"" sight.""",digust
948,"On a social occasion, I noticed that I reacted on the basis of my á autonomous nerve system (I could not help it).",shame
949,When I caused needless anxiety to a person close to me because of á my lack of self-insight.,guilty
950,I was coming home from an exam and I supposed that I had á passed it so I ran to a restaurant for a beer.,joy
951,I had been drinking with a pal and I later (1 o' clock) had a date  á with my fiancee.  We were going to a Spanish lesson and I was á afraid that she would smell that I had been drinking.,fear
952,My fiancee and I were at my parent's place watching TV. There á were  only two TV-chairs and we were sitting on them when my á drunken brother came in and rudely chased my fiancee off the á chair she was sitting on.,anger
953,I had drunk a couple of beers and my fiancee got angry at me.,sadness
954,We were at a hamburger bar and a man at a table nearby started á coughing and spitting into his plate.,digust
955,We got into a fight with some chaps in front of our family house. á The value of the property destroyed was approximately 15 000 FIM. á I felt ashamed when my parents came to know about this.,shame
956,We had had a party the night before and we still had some liquors á left the morning after. I went to the kitchen pretending to á prepare some tea and was caught by my fiancee pouring some rum á down my throat.,guilty
957,While dancing in a restaurant last week.,joy
958,I was on the Inter Rail in Naples alone. After an evening in a á restaurant I was going back to the hotel when a prostitute á approached me to sell herself. I refused but as I carried on á walking I felt that I was being followed by someone.,fear
959,When a girl left me.,anger
960,"I was on my way back from the Inter Rail, on board the ferry from á Stockholm when my father called me at 7 o'clock to tell me that my á uncle had died and that I would be seeing him off on his final á journey within four days.",sadness
961,"On Reperbahn, in a restaurant, a \charming\"" old saleswoman came á",digust
962,"At the funeral of my uncle, I was one of the bearers.  I was not á familiar with the etiquette and acted tactlessly because of my á ignorance.",shame
963,"On Reberbahn, I was in a \restaurant\"" where drinks were á",guilty
964,My girlfriend gave me some feed-back and I understood that it á meant that our relationship was about to turn even closer.,joy
965,"At the dentist's, waiting for my turn to come.",fear
966,"While in the army, I was treated unfairly by my superiors.  I was á held responsible for a deed of which I was innocent.",anger
967,When I came to know that my grandmother had died.  She was very á close to me.,sadness
968,"In the army, an acquaintance of mine tended to use his position á to advance his own interests.",digust
969,"When I lied to my girlfriend, telling her that I had passed an á exam, when I actually did not even take it.",shame
970,When I spoke ill of a fellow worker in the absence of this á person.,guilty
971,When I look at people around and know that people who are stupid á look stupid.,joy
972,When I saw Russian roulette on TV. (obviously the movie \Deer á,fear
973,When stupid people push me during rush time in the city.,anger
974,[ Laziness makes one sad.],sadness
975,When I saw hundreds of snakes twisting over one another in a á movie.,digust
976,I saw a skid-row (chronical) alcoholic and I was ashamed of the á people with a high standard of living.,shame
977,When I shot a bird in the head with a shotgun.,guilty
978,[ Being close to another person.],joy
979,[ Uncertainty about my own abilities in an exam.],fear
980,[ An unfair punishment.],anger
981,"Loneliness, being uncertain of myself in the Autumn.",sadness
982,A rich man expressing disgust towards an alcoholic.,digust
983,"A man asked me: \May I sleep in your stairway?\""  and I answered á",shame
984,[ The same as in shame.],guilty
985,I went to a doctor with a complaint. The doctor told me that I á was completely healthy.,joy
986,"My father was away from home and he did not come back when he was á expected, he came back several hours later than expected.",fear
987,"I had an implicit agreement with my sister about meeting her, á however she had not understood the situation the same way so she á did not turn up.",anger
988,I realized that the girl I loved had to leave me.,sadness
989,In the bus I was sitting next to a colleage who was drunk and á behaved in keeping with his state.,digust
990,I had promised to help out with domestic chores and I forgot á about it.,shame
991,I had promised to call a girl but I did not do it.,guilty
992,When I unexpectedly received birthday greetings from a person I á like.,joy
993,I returned home late from a party last night and I felt afraid á trying to anticipate the reaction of my father.,fear
994,When I learned that my brother had spoilt an LP of mine.,anger
995,When I came to know that a girl I was fond of already had a á boyfriend.,sadness
996,A too eager approach by a dirty drunken person in a bus.,digust
997,I made a major mistake while learning how to use a computer programme á and the teacher criticized me.,shame
998,"I reproached my mother's cooking and criticised her á personality, and she felt hurt and depressed.",guilty
999,I shot the decisive goal in an ice-hockey match.,joy
1000,When I got lost in New York city a late friday night with a á friend of mine.,fear
1001,After having quarelled with a relative of mine about politics.,anger
1002,The death of my grandmother.,sadness
1003,When I noticed that a nice person was being exploited á economically.,digust
1004,I slandered a person behind his back and he got to know about it.,shame
1005,I had quarelled with a friend of mine and I later realized that á it was also my fault.,guilty
1006,I passed an exam which I was not sure at all to pass.  I rejoyced á at the result because the possibility of continuing my studies á depended on it.,joy
1007,"In the traffic with a car, I nearly got crushed between a bus and á a tram.  The attention of other drivers saved me at the last moment.",fear
1008,"I was disappointed and angry at the bad quality of a documentay á program on TV.  In my opinion, the topic was important and the á program should have been made with seriousness and consideration.",anger
1009,My father had a heart attack when I was not at home (I was still á living with them).  He recovered relatively well although he had á to retire (which implied relief from the stress of a small scale á enterprise).,sadness
1010,"At my grandmother's detestable and selfish conduct towards my á elder sister, although her behavior was due to senility and lack of á understanding.",digust
1011,"I arrived late at a seminar concerning my major subject at á university, although I had been appointed to formally oppose the á paper which was being presented.",shame
1012,"I had asked the Salvation Army to take away a piece of furniture á of mine, but I forgot to cancel the agreement (a friend of mine á took it) and I thereby caused the Salvation Army people some á unnecessary work.",guilty
1013,"On the cliff by the sea, the silence and the sudden voice of a á bird.(swans of the bay)",joy
1014,A dark night when I had to go to the outdoor lavatory.,fear
1015,When I realized that I was far behind the others in the language á course and I could no longer catch up with the others.,anger
1016,"The long lasting illness of my grand-mother, and the changes in á family relationships caused by it.",sadness
1017,"Spoilt, smashed and molded potatoes in the fridge, and having to á clean up the dish later.",digust
1018,"A truth expressed unthinkingly at a coffee party.  I realized á later that I had been inconsiderate, at a wrong moment and the á wrong place.",shame
1019,"I did not go to the exercises, without any adequate reason.",guilty
1020,"When I got home from my job, I found a letter from the university á telling me that I had been admitted to begin my studies.",joy
1021,"While watching TV (a war movie), I felt a strong fear of death, á threat and fear of loosing people close to me.",fear
1022,I was angry with a friend of mine who behaved in an affected á manner.,anger
1023,I made a long-distance call to people rather close to me and I á thought about the sad incident that had happened to them in the á near past; I knew that they were thinking about it too when I made á the call.,sadness
1024,My parents inherited an appartment and this made them behave in a á peculiar manner.,digust
1025,When my friend let my personal matters be publicaly known.,shame
1026,"When I think about my family (parents, brothers, sisters) guilt á is a part of my feelings.",guilty
1027,I unexpectedly met a girl with whom I have always got along well. á ( I had not seen her for several months.),joy
1028,When my father was very drunk and raging at home.,fear
1029,"When I did not find the rack used for beating up rugs, in the á yard.",anger
1030,When one of my cat died of a disease.,sadness
1031,I felt disgusted at the environment while getting back to my á student lodging. I did not see anything in the suburb which had á been planned by taking people's comfort into account.,digust
1032,My girlfriend was away visiting another city and I brought á another girl home. Next morning when I started getting sober I á felt quite ashamed of myself.,shame
1033,I got 100 FIM too much when I changed money at the bank.  They á soon called me at my job and the situation was embarrasing for á me.,guilty
1034,"In Sweden, a friend and I lived in an appartment owned by a Finn. á  One day, this man came back to the appartment heavily drunk á (hashish and alcohol).  He was quite dizzy and he broke down, and á I could not foretell his reactions.  However, nothing happened.",fear
1035,"I had an appointment downtown, and the person in question was á half an hour late.",anger
1036,The death of my grandmother.,sadness
1037,"In the army, I had been in hospital for two weeks and as soon as á I returned to the company, a sergeant ordered me to fetch a load á on the tractor trailer.",digust
1038,"On the way back from a Summer spent in Sweden, I drunk with a man á in the train.  I had drunk so much that when I got home I fell á asleep in the entrance hall.  I have never drunk that much, á neither before nor after that incident.  I was ashamed because my á mother and my sister had to see me in that state and my father á had to carry me to bed.",shame
1039,"While at primary school, I did not let a friend ring a bell á although he would have liked to do it.  Afterwards I felt bad.",guilty
1040,I got a fairly large amount of my taxes back.,joy
1041,"I was jogging in the forest, in the central park area, when I saw á a man hiding behind a tree.  I got frigthened, turned around and á ran out of the forest.",fear
1042,"I was coming home in a taxi with a fellow worker of mine.  He was á criticizing my earlier conduct towards him, which to my mind was á unfounded.  When I reached home, I ran out of the taxi and á slammed the door.",anger
1043,I had had a farewell party at the place where I had been working á for a year.  That night I could not fall off to sleep.  I was sad á thinking that I would not see my nice fellow workers again.,sadness
1044,"I was travelling in a local train when a drunkard, smelling á terribly, entered the same carriage and started eating fish that á was stinking.",digust
1045,"While quarelling with a fellow worker of mine, I was vehement and á irritated and I told him what I thought of him in plain language.  á I was ashamed of myself when I met him the next day.",shame
1046,"I was working as a secretary.  My boss was to go to give a á lecture, and wanted me to give him the exact address of the á place.",guilty
1047,"A sunny Autumn day, after a long rainy period.",joy
1048,"Years ago, on my way to school by the forest path I came across á an exhibitionist.",fear
1049,"A person close to me mistook my good intentions for bad, and á therefore associated unpleasant traits to me.",anger
1050,[ A person close to me told me that his positive regard depended á on my conduct.],sadness
1051,When an untidy and heavyly drunk person made endeavours to á approach me.,digust
1052,"As a little girl, I was sick in the middle of a school day and I á vomitted in the basin of the classroom.",shame
1053,I lost my self-control and raised my voice at a child.,guilty
1054,I got to know that I had been accepted at university.,joy
1055,I had been watching a TV-program on paranormal phenomena.  At á night I could not fall off to sleep as I feared that humanoids á were on the move.,fear
1056,"My superior blamed me for some neglects at work in front of á others.  In fact, the task in question was not supposed to be á done by me.",anger
1057,My father suddenly fell ill and died.,sadness
1058,When a friend of mine got drunk and started to blame and scorn my á other friends and me.,digust
1059,When I forgot a promise made to a friend of mine.,shame
1060,It was my turn to cook dinner.  I forgot a dish (the favourite of á the family) in the oven and it got burnt and was uneatable.,guilty
1061,My joy was the joy of meeting again.  My husband came home after á having been away for weeks (for work).  I was on the railway á station to meet him.,joy
1062,"I was alone at home and I could hear odd noises coming from above á our bedroom.  I knew that nobody lived there since it was an á office.  I got frightened (later I was given a \natural\"" á",fear
1063,A relative of mine had come to see my husband to talk to him á about a problem concerning his sister and me.  I was angry á because this relative of mine did not dare to speak to me and á instead spoke to my husband.  I got to know about it later the á same day.,anger
1064,"The death of my father, even though we had not been very close to á each other.",sadness
1065,The male friend of my mother (a widow) moved in to live with us.  á I did not like the man.,digust
1066,At school I was talking to a classmate about mathematics.  I had á grown weary of it and said : \I would like to throw the book on á,shame
1067,"The death of my father made me feel quite guilty, because my á attitude towards him had been cold and indifferent.",guilty
1068,"My mother, sister and I were thinking about old times, our á childhood, and we had a very happy time.",joy
1069,"My husband had gone to drive a strange, broken car.  At the á agreed time, he had not returned, and I feared that he had had an á accident.",fear
1070,"I am a school teacher.  One of the classes does not obey me at all, á keeps on talking, does no work.  One afternoon, everything went á wrong, and I got exceedingly angry.",anger
1071,"A young, close relative of mine died, leaving behind a baby a few á months old.",sadness
1072,"A series about Freud was shown on TV.  In it, a tampon had been á set in the nose of a woman, and forgotten there.  After great á pain it was taken off (close-up picture), the woman was bleeding á from the nose and the mouth.",digust
1073,"I had promised to lend something to my mother-in-law and I forgot á it a couple of times.  When she asked me about it the third time, á I was ashamed at my absent-mindedness.",shame
1074,"A borrowed car broke down while I was using it.  It was not my á fault, nevertheless I felt guilty.",guilty
1075,I started a new branch of studies after having failed a former á one.  When I got back my exam papers I was very happy to know á that I almost had full marks.,joy
1076,"I was diving below the ice, in a cave, at a depth of 26 metres.  á Visibility was almost zero and the oxygen level decreased á threateningly.  There were three of us divers on one safety rope.",fear
1077,My mother carried on using mental pressure concerning something á which was serious and a real burden to me.,anger
1078,"My grandfather died, I went to the mortuary and saw the corpse.",sadness
1079,[ The same as in anger.],digust
1080,As a child when I was blamed for peeing in the swimming-pool.,shame
1081,"A friend of mine was drunk and having an argument on the street á with a woman, appparently his girlfriend.  I was walking on the á other side of the street and thought that I was not supposed to á interfere.  Later I heard that he had shot himself that evening.",guilty
1082,My girlfriend sent me a letter with a shiny picture in it.,joy
1083,I was about to begin a journey in a car with an acquaintance of á mine.,fear
1084,On the TV news I heard that Nicaragua had complained about the á increasing threat of war with the USA.,anger
1085,My girlfriend gave me the mitten (left me).,sadness
1086,Watching a violent movie.,digust
1087,The morning after a wild party.,shame
1088,"I \picked up\"" a girl and I thought that I had misused my á",guilty
1089,"When, to my surprise, I got to know about having got \very good\"" á",joy
1090,"My grandmother was about to die, and it had the effect that at á night, after having read a book, and once in bed, in perfect á darkness, the fear arose that I too may suddenly die.",fear
1091,"When I checked my examination paper and realized that I had been á careless, thoughtless, lazy and hasty so as to make unnecessary á mistakes concerning things I know and understand.",anger
1092,"When we decided, my boyfriend and I, that we would separate, I á realized that he would have wanted to continue our relationship á and the coming separation hurt him.",sadness
1093,"When an acquaintance of mine told me about the way his parents á treated their sons in an unequal manner.  The most successful of á them got continuous encouragement, and the youngest was not á encouraged and was rejected.",digust
1094,"I was talking to a friend of mine about our parents and á education.  I said something and then realized that I did not á know my friend's parents, their motives and education.  I felt á ashamed at having talked about something I did not know anything á about.",shame
1095,My mother told me that the enveloppes that I had been tearing (I á had torn the stamps away) in good faith had been the first-day á enveloppes which my father had collected as a young man.,guilty
1096,"I am not especially good at English, and after the high school á graduation exam in English I tensely waited for the result the á whole day.  In the evening, when I heard that I had done á excellently, I became very happy and the anxiety vanished.  My á family was at home.",joy
1097,"I feared that I was pregnant.  It was not planned and I would á have been compelled to have an abortion, which I would not have á liked at all.  Fortunately, after a week's anxiety, I got to know á that I was not pregnant.",fear
1098,"A member of a religious sect tried to convert me, using really á evil tricks to persuade me.  After he had left, I was anxious and á angry for a long time. After the event, I was alone.",anger
1099,"When my boyfriend wanted to leave me, I felt sad and melancholic.",sadness
1100,"In a film, there was an episode where they used a chain saw to á cut a man.  I could not look at it, but I could not avoid á listening either.  I sought shelter in my boyfriend's arms.",digust
1101,"I thought I would be able to use the mangle of the house, and so á I did not want any help.  However, I blocked it and I had to get á the janitor to help me out.  He reproached me for not having á followed the instructions",shame
1102,"I promised my friends that I would take care of something, but I á kept forgetting about it.  When they asked me about it, I á promised to do it immediately.  However, I got started only after á a couple of months.  I felt that I had betrayed my friends.",guilty
1103,"When I got an unexpected letter from  a guy, who had been my school á mate.",joy
1104,"When my brother went to shoot wild ducks, I feared that the á boat would overturn and he would drown or that the gun would á accidentally go off.",fear
1105,My father had once again told me that I should be careful and try to á seek admission to other places also apart from the faculty of á Social Sciences at the university of Helsinki.  I was not at all á interested in any other place and had no time to study for other á entrance exams.,anger
1106,"I would have liked to go out to chat with some acquaintances, but á I realized that I was not wanted.  I felt hurt, disappointed, á lonely and deserted.",sadness
1107,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen á carpet.  It was past mid-night and my room-mate had just moved in, á this acquaintance had helped her move in.á ",digust
1108,"I was carried away while talking about my visits abroad and I á tended to boast a little, till I realized that the listener was á amused.",shame
1109,"When I was baby-sitting at my cousin's place, I tried to have a á pleasant time and did not really take care of the child.  I do á not care very much about children.",guilty
1110,"When I got 21/30 points in an exam of statistics. The result was á unexpected and it made me realize that statistics do not á surpass my abilities, as I have sometimes thought.",joy
1111,When a big angry dog put its snout on my arm and had I made one á movement it would have bitten me.,fear
1112,When my room-mates were watching video-tapes and prevented me á from watching the news.  The first feeling I had was that I was á being treated unfairly and then came the feeling of anger.,anger
1113,"[ When after a night of sleeping in another's arms, one wakes á alone and knows that the lonely arms of the night are not the á same that one meets in the morning.]",sadness
1114,"When an unpleasant person tried to make friends with me.  A á subtle, small, insignificant, grey being whose helplessness and á neutrality evoked the feeling of disgust in me.",digust
1115,Badly chosen words to a vague acquaintance of mine made me feel á ashamed at having given the wrong impression about what I wanted á to say.  Thoughtlessness.,shame
1116,"When I behaved improperly - fought in a public place.  á Afterwards, I felt guilty about my conduct.",guilty
1117,When my friend told me that he would come and meet me in a á moment.,joy
1118,My father had been drinking and I feared him when we went to bed á at night.,fear
1119,My friends promised me that they would definitely call me to tell á me if they were visiting me or not.,anger
1120,A close friend of mine had not contacted me for a long time.,sadness
1121,A friend of mine came to see me when he was quite drunk.,digust
1122,I said something especially stupid which I did not mean at all.,shame
1123,"I did not go to help a friend of mine, though she probably needed á me.",guilty
1124,"When I felt that an exam, which I had feared, was an easy one and á went well.",joy
1125,I was afraid when my dog ran out through a crack in the fence á when  a train was coming.,fear
1126,"When a friend of mine was drawn into a fight because of the á stupid gang he belonged to. I felt angry with him and his á friends. They could not think about anything sensible, but would á fool around without taking into consideration the feelings of á other persons.á ",anger
1127,I felt sad after having had an argument with my boyfriend.  I felt á that he did not understand me and that there was no point in á carrying on with the relationship.,sadness
1128,"I detested my father who was a drunkard.  He would rave, á threaten and blame my mother and me.  He finally drove us away á from home.",digust
1129,"When I was on holiday with my former boyfriend, he hit me and á behaved in a very evil and ugly manner in front of the hotel á personnel.",shame
1130,"When as a child I stole, from a friend of mine, the ring she had á got in an easter egg.",guilty
1131,"When I got home from a pleasant trip abroad, I got to know that I á had been accepted at university.",joy
1132,"At school, I had acted against the will of the group, and the á next day they promised to take revenge on me.",fear
1133,"My mother had for some time been trying to separate me from a á good friend who, she thought, was not good company for me.  á Finally, at breakfast one day, we had an argument and I tried to á defend my friend.",anger
1134,I got to know about the death of a close friend.,sadness
1135,"When I was watching a movie with many violent episodes.  They á accurately showed the cutting of corpses, etc...",digust
1136,"When I was caught telling a white lie.  At that time, I was not á allowed to stay outdoors after 8 p.m.  One day when I was late, I á made up a story that our neighbour had invited me to his place, á though I had actually forgotten about the time while playing with á my pals.",shame
1137,"When before the last exam I have taken, I went out instead of á studying.",guilty
1138,When I was pressing figures on the curtain cloth. I had bought á the cloth after months of hindrances.,joy
1139,I am a kindergarten teacher and I am thoroughly weary of my job.  á After having taken the university entrance exam I suffered from á anxiety for weeks as I did not want to carry on with my work - studies á were the only alternative. ,fear
1140,"My life-partner, who was drinking more and more, spoke about á kicking the cat.  He had never done anything of the kind, but I á knew that he would do so one day, without thinking about it.",anger
1141,"Estrangement from my best woman friend.  We have been going á different ways for quite some time now, but the break was total á when she got married as her husband is unreasonably jealous of me.",sadness
1142,"My life-partner is going through a crisis (way of life, old-fashioned values) á and can only get out of it by talking bold decisions.  I have á noticed his cowardice and attempts to escape his problems by á drinking.  I detest his drinking and his being full of self-pity.",digust
1143,"Again, a quarrel had come up in our difficult relationship.  My á life-partner threw all the books off the shelf.  I am sure that it á disturbed our neighbours since this happened late in the night.",shame
1144,"A lonely, neurotic, shy girl lives nearby. She has expressed a á wish to meet me, I have however avoided her (turned down an á invitation) as the crisis my partner is going through uses up all á my empathy.",guilty
1145,"Begining the week-end with my girlfriend : cozyness, beer and á wine.",joy
1146,"The fear about my future : work, making ends meet and health. á Coping.",fear
1147,"A friend of mine ridiculed me, telling me that I would never á accomplish anything. I felt that he had interfered with my life.",anger
1148,I felt sad at having to leave my girlfriend after constant problems á and failed attempts at reconciliation.  My sadness was caused by á the irreversibility of the decision.,sadness
1149,A man spat on the wall of a house.,digust
1150,In an express bus I sat on a seat meant for senior citizens and á invalids.,shame
1151,When I did not succeed in finding a job after having finished a á nonacademic degree.,guilty
1152,"When after an overwhelming anxiety and enquiry, I understood á something about why I exist and what my task in life is.",joy
1153,"At the railway station, while waiting for the last train at night á I noticed that a drunk young man was appraching me in a á purposeful mannner.",fear
1154,"While having a discussion with my mother, I realized that she á does not for a moment doubt the justification of her making the á decisions concerning my life.",anger
1155,When I think that I will probably never have a genuine contact á with my parents.,sadness
1156,"While reading Olli Jalonen's new book, the distant, cold and á selfish relationships between people (in the book) made me feel á disgusted.",digust
1157,When I approached a person of the opposite sex and was rejected.,shame
1158,"When I noticed that my little sister was sulking, because I could á not meet her because of a misunderstanding.",guilty
1159,"The day I got to know that I would get a shared dwelling with my á boyfriend.  My parents place was getting a little crowded with á my growing bother wanting a room to himself.  I first felt doubt, á then joy, but also sadness.  The feeling of joy was the á strongest.",joy
1160,My grandfather had lung-cancer and was being nursed at á home.  I felt fear when I was alone with him and he almost choked á on mucus secretions.,fear
